name,ring,quadrant,isNew,description,rings
Technology build to increase efficiency and automation at GA ,Accelerate,General Agency,FALSE,<p>(F4)</p>,
Develop/use CL Customer segmentation to improve loss ratio (current book + new) ,Incubate,Product Innovation,FALSE,<p>Re-visit uw guidelines with data; buy or develop talent (G2)</p>,
Create data-driven benchmark approach (for external use) to aid customers in identifying levers to increase revenue and decrease risk of loss,Incubate,Product Innovation,FALSE,<p>(B1)</p>,
Create and offer JM Claims to other carriers as a TPA ,Incubate,Product Innovation,FALSE,<p>(A3)</p>,
Create and offer JM Loss Prevention service to other carriers / customers for hire ,Incubate,Product Innovation,FALSE,<p>(C2)</p>,
Expand into offering reinsurance for existing segments via Lloyds,Incubate,Product Innovation,FALSE,<p>(E7)</p>,
Combine JMIS and Wexler Retail Agency force (GA remain separate) ,Incubate,General Agency,FALSE,<p>(F3)</p>,
Negotiate lower cost structure with AJG on Lloyds GA business ,Incubate,General Agency,FALSE,<p>(F5)</p>,
"Complete talent mapping, gap assessment and strategy development across org, and add talent bench strength in key areas",Incubate,General Agency,FALSE,<p>Add talent bench strength in key areas (E6)</p>,
Create a product & research team to be responsible for Voice of Customer,Incubate,Product Innovation,FALSE,<p>(F4)</p>,
"Leveraging Jeweler Programs, Express and Care Plan within the GA",Incubate,Product Innovation,FALSE,<p>(H1)</p>,
"Create a ""package"" of services & products by customer type or segment",Study,Product Innovation,FALSE,<p>migrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (E2)</p>,
Cross-sell existing GA customers with JM PL lines and services ,Study,General Agency,FALSE,"<p>existing products, customers and data; need sales center staff (create capacity within) to pursue; compensation (B4)</p>",
"Cross sell existing JM customers with other lines via GA (WC, Auto) ",Study,General Agency,FALSE,<p>have markets through JMIS and Wexler; need value proposition for JM agent (G1)</p>,
Create a service center to handle outbound & cross-sell opportunities ,Study,General Agency,FALSE,"<p>need to think structure for Enterprise; number and skill of staff; value prop and comp for agent, rethink CRM solution for GA. (E4)</p>",
Create and offer JM Underwriting services to other carriers for jewelry industry,Study,Product Innovation,FALSE,<p> (A3)</p>,
Develop CL strategic partnerships with other carriers to bring products / services to jewelers (HSB model),Study,Product Innovation,FALSE,<p>partner market (A2)</p>,
"Expand existing JMIC underwriting appetite in jewelry industry (larger, other classes, etc.) ",Study,Commercial Lines,FALSE,<p>Re-visit uw guidelines with data; buy or develop talent (A4)</p>,
Acquire additional agencies lacking succession ,Study,General Agency,FALSE,<p>current IA(C1)</p>,
Create best practices for production sales culture and customer handling to drive across JMIS and Wexler Agencies consistency & increase customer retention & cross-sell,Study,General Agency,FALSE,<p>cross training+ new practices (F2)</p>,
Gather & analyze existing customer knowledge & data to understand value drivers,Monitor,Product Innovation,FALSE,<p>migrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (F1)</p>,
"Develop ability to target key life events: engagement, wedding, home purchase, birth, etc. ",Monitor,Product Innovation,FALSE,<p>migrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (C3)</p>,
