name,ring,quadrant,isNew,description,rings
Warranted App,Accelerate,Commercial Lines,FALSE,<p>The “warranted” Jewelers Block application has been a staple of the inland marine product for many years and represents essentially the sole mechanism for garnering relevant underwriting and rating information about insured risks. The application is a multi-page document which is filled out by the prospect or insured or by the agent in discussion with the prospect or insured. The document is signed by the prospect or insured certifying the information relevant to their insurance risk/needs is accurate. <p>,
HSB Water Sensors,Accelerate,JM Risk Services,FALSE,"<p>IoT device which targets the presence of moisture and/or falling temperature, humidity, and power/wifi outage and alerts the property owner via a mobile application so that mitigation efforts may be deployed.<p>",
Optional Quote Tool for Agents,Accelerate,Product Innovation,FALSE,,
BPP ITV Calculator,Accelerate,Product Innovation,FALSE,,
Agency Management Combined List,Accelerate,Product Innovation,FALSE,,
External Facing SP Site- Agents,Accelerate,Product Innovation,FALSE,,
Single Application - All Markets,Accelerate,General Agency,TRUE,,
JB/JS/BOP Rate Filings,Accelerate,Product Innovation,FALSE,,
CL Fees,Accelerate,Product Innovation,FALSE,<p>CA and WA are still pending approval. All other states have been implemented as of September 2021<p>,
JM Loss Prevention to other carriers,Incubate,Product Innovation,FALSE,<p>Create and offer JM Loss Prevention service to other carriers / customers for hire(C2)</p>,
Cross-sell ,Incubate,General Agency,FALSE,"<p>Cross-sell existing JM customers with other lines via GA (WC, Auto), have markets through JMIS and Wexler; need value proposition for JM agent (G1)</p>",
Alarm Response Program,Incubate,JM Risk Services,FALSE,<p>To provide policyholders with a guard response service through Securitas to ensure all alarm activations are investigated.<p> ,
eLearning Modules,Incubate,JM Risk Services,TRUE,<p>Provide simulation based elearning modules based on JSA Jewelers Security Manual<p>,
Build Parametric Weather Program,Incubate,Product Innovation,TRUE,,
Trade Risk ,Incubate,Product Innovation,FALSE,,
Memo ,Incubate,Product Innovation,FALSE,,
Blanket AI,Incubate,Product Innovation,FALSE,<p>Blanket AI<p>,
Disappearance/Throw-away Sublimit,Incubate,Product Innovation,TRUE,,
EPLI Bolt On Coverage -Wexler,Incubate,Product Innovation,TRUE,,
Multiple Underwriting Companies ,Study,Product Innovation,TRUE,<p>Commercial Lines leverage multiple Underwriting Companies (JMSI)<p>,
GA Technology,Study,General Agency,FALSE,<p>Technology build to increase efficiency and automation at GA (F4)</p>,
CL Customer Segmentation ,Study,Product Innovation,FALSE,"<p>Develop/use CL Customer segmentation to improve loss ratio (current book + new), Re-visit uw guidelines with data; buy or develop talent (G2)</p>",
Claims TPA,Study,Product Innovation,FALSE,<p>Create and offer JM Claims to other carriers as a TPA - Pawnbrokers(A3)</p>,
Reinsurance Expansion,Study,Product Innovation,FALSE,<p>Expand into offering reinsurance for existing segments via Lloyds - EPLI(E7)</p>,
Merge JMIS & Wexler,Study,General Agency,FALSE,<p>Combine JMIS and Wexler Retail Agency force (GA remain separate) (F3)</p>,
Talent Assessment,Study,General Agency,FALSE,"<p>Complete talent mapping, gap assessment and strategy development across org, and add talent bench strength in key areas, Add talent bench strength in key areas (E6)</p>",
Voice of Customer Team,Study,Product Innovation,FALSE,<p>Create a product & research team to be responsible for Voice of Customer(F4)</p>,
Service Center,Study,General Agency,FALSE,"<p>Create a service center to handle outbound & cross-sell opportunities, need to think structure for Enterprise; number and skill of staff; value prop and comp for agent, rethink CRM solution for GA. (E4)</p>",
CL Strategic Partnerships,Study,General Agency,FALSE,"<p>Develop CL strategic partnerships with other carriers to bring products / services to jewelers (HSB model), partner market (A2)</p>",
Production Sales Culture,Study,General Agency,FALSE,"<p>Create best practices for production sales culture and customer handling to drive across JMIS and Wexler Agencies consistency & increase customer retention & cross-sell, cross training+ new practices (F2)</p>",
Customer Insights,Study,Product Innovation,FALSE,"<p>Gather & analyze existing customer knowledge & data to understand value drivers, migrate all data to jeweler data platform; add external data; add data expertise (people) to the business units (F1)</p>",
Cross-sell shipping to all JM/Wexler clients ,Study,Product Innovation,FALSE,"<p>existing products, customers and data; need sales center staff to pursue; compensation (C7)</p>",
Shipping Strategy,Study,Product Innovation,TRUE,,
Lab Grown Diamonds Liability Coverage,Study,Product Innovation,TRUE,,
Terrorism Form Updates,Study,Product Innovation,TRUE,,
Pre-Underwriting Strategy & Execution,Study,Product Innovation,TRUE,,
